"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 01 17:22:53 CST 2021","Mon Mar 01 17:22:54 CST 2021","997","testcase","test_elementui","Testadv","","","test_login_element",""
"passed","Tue Feb 23 17:44:34 CST 2021","Tue Feb 23 17:44:34 CST 2021","104","case","test_login","TestLogin","","","test_login_right",""
"passed","Tue Feb 23 17:44:34 CST 2021","Tue Feb 23 17:44:34 CST 2021","12","case","test_index","TestIndex","","","test_get_index_title",""
"passed","Mon Mar 01 17:23:00 CST 2021","Mon Mar 01 17:23:00 CST 2021","16","testcase","test_index","TestIndex","","","test_get_index_title",""
"passed","Tue Feb 23 17:44:34 CST 2021","Tue Feb 23 17:44:34 CST 2021","34","case","test_login","TestLogin","","","test_login_fail[data1]",""
"passed","Mon Mar 01 17:23:01 CST 2021","Mon Mar 01 17:23:01 CST 2021","32","testcase","test_login","TestLogin","","","test_login_fail[data2]",""
"passed","Mon Mar 01 17:23:01 CST 2021","Mon Mar 01 17:23:01 CST 2021","37","testcase","test_login","TestLogin","","","test_login_fail[data0]",""
"passed","Mon Mar 01 17:22:54 CST 2021","Mon Mar 01 17:23:00 CST 2021","5962","testcase","test_elementui","Testadv","","","test_add_adv",""
"passed","Mon Mar 01 17:23:01 CST 2021","Mon Mar 01 17:23:01 CST 2021","34","testcase","test_login","TestLogin","","","test_login_fail[data1]",""
"failed","Tue Feb 23 17:44:34 CST 2021","Tue Feb 23 17:44:34 CST 2021","48","case","test_login","TestLogin","","","test_get_code[data1]",""
"broken","Tue Feb 23 17:44:33 CST 2021","Tue Feb 23 17:44:33 CST 2021","0","case","test_elementui","Testadv","","","test_add_adv",""
"passed","Tue Feb 23 17:09:04 CST 2021","Tue Feb 23 17:09:05 CST 2021","958","case","test_elementui","Testadv","","","test_addAdv",""
"broken","Tue Feb 23 17:44:31 CST 2021","Tue Feb 23 17:44:31 CST 2021","0","case","test_elementui","Testadv","","","test_login_element",""
"passed","Mon Mar 01 17:23:01 CST 2021","Mon Mar 01 17:23:01 CST 2021","122","testcase","test_login","TestLogin","","","test_login_right",""
"passed","Tue Feb 23 17:44:34 CST 2021","Tue Feb 23 17:44:34 CST 2021","38","case","test_login","TestLogin","","","test_login_fail[data0]",""
"passed","Tue Feb 23 17:44:34 CST 2021","Tue Feb 23 17:44:34 CST 2021","34","case","test_login","TestLogin","","","test_login_fail[data2]",""
"passed","Tue Feb 23 17:44:34 CST 2021","Tue Feb 23 17:44:34 CST 2021","48","case","test_login","TestLogin","","","test_get_code[data0]",""
"failed","Mon Mar 01 17:23:00 CST 2021","Mon Mar 01 17:23:01 CST 2021","50","testcase","test_login","TestLogin","","","test_get_code[data1]",""
"passed","Mon Mar 01 17:23:00 CST 2021","Mon Mar 01 17:23:00 CST 2021","51","testcase","test_login","TestLogin","","","test_get_code[data0]",""
